1	2
1	13
1	14
2	14
2	13
13	14
13	25
13	26
25	26
14	26
14	25
25	37
25	38
37	38
26	38
26	37
26	39
38	39
49	50
49	61
49	62
61	50
61	62
61	73
73	74
73	85
85	86
85	97
85	98
97	86
97	98
97	109
109	110
109	121
109	122
121	110
121	122
121	133
121	134
133	122
133	134
50	51
50	62
50	63
62	51
62	63
62	74
62	75
74	63
74	75
86	87
86	98
86	99
98	87
98	99
98	110
98	111
110	99
110	122
122	134
3	4
15	16
15	27
15	28
27	16
27	28
27	39
27	40
39	28
39	40
39	51
39	52
51	40
51	52
51	63
51	64
63	64
63	75
87	99
99	111
111	112
111	123
111	124
123	112
123	124
123	135
123	136
135	124
135	136
4	5
16	17
16	28
16	29
28	17
28	29
28	40
28	41
40	29
40	41
40	52
52	53
52	64
52	65
64	53
64	65
76	77
76	88
76	89
88	77
88	89
88	100
88	101
100	89
100	101
100	112
112	124
124	136
5	17
17	29
29	41
53	54
53	65
53	66
65	54
65	66
77	89
89	90
89	101
89	102
101	90
101	102
113	114
113	125
113	126
125	114
125	126
125	137
125	138
137	126
137	138
6	7
6	18
18	19
18	30
18	31
30	19
30	31
30	42
30	43
42	31
42	43
42	54
54	66
78	79
78	90
78	91
90	79
90	91
90	102
90	103
102	91
102	103
114	115
114	126
114	127
126	115
126	127
126	138
126	139
138	127
138	139
7	19
19	31
31	43
31	44
43	32
43	44
55	56
55	67
55	68
67	56
67	68
67	79
79	91
91	103
115	116
115	127
115	128
127	116
127	128
127	139
127	140
139	128
139	140
8	9
8	20
8	21
20	9
20	21
20	32
20	33
32	21
32	33
32	44
32	45
44	33
44	45
56	68
68	80
80	92
92	93
92	104
92	105
104	93
104	105
104	116
104	117
116	105
116	117
116	128
128	129
128	140
128	141
140	129
140	141
9	21
21	10
21	22
21	33
33	45
45	57
69	70
69	81
69	82
81	70
81	82
81	93
81	94
93	82
93	94
93	105
105	117
129	141
10	22
22	23
22	34
22	35
34	23
34	35
34	46
34	47
46	36
46	47
46	58
46	59
58	47
58	59
70	71
70	82
70	83
82	71
82	83
82	94
82	95
94	83
94	95
94	106
94	107
106	95
106	107
106	118
106	119
118	107
118	119
118	130
118	131
130	119
130	131
130	142
130	143
142	131
142	143
11	12
11	23
23	35
35	36
35	47
35	48
47	36
47	48
47	59
47	60
59	48
59	60
59	71
59	72
71	60
71	72
71	83
71	84
83	72
83	84
83	95
83	96
95	84
95	96
107	108
107	119
107	120
119	108
119	120
119	131
119	132
131	120
131	132
131	143
131	144
143	144
12	24
12	36
36	48
48	60
72	84
84	96
108	120
120	132
132	144
